id,cliente_id,cierre_caja_id,numero_pedido,fecha_pedido,hora_entrega,estado,total,origen_pedido,notas,mes,mes_nombre,dia_semana,semana,semana_anio,es_fin_semana,trimestre,es_fecha_especial,es_cancelado,es_entregado,hora_entrega_num,monto_pagado,n_pagos,metodo_pago_prin,estado_pago_fin,riesgo_cobro,es_pago_digital,n_items,n_productos_dist,subtotal_det,canal_cliente,tipo_cliente,antiguedad_cliente,diferencia_pago,ticket_por_item,total_norm,monto_pagado_norm,diferencia_pago_norm,ticket_por_item_norm,n_items_norm,n_productos_dist_norm,hora_entrega_num_norm,antiguedad_cliente_norm,subtotal_det_norm,estado_cod,origen_cod,metodo_pago_cod,estado_pago_cod,tipo_cliente_cod,canal_cliente_cod
17,6,7,PED-20240108-017,2025-01-08,11:00:00,entregado,84000,whatsapp,Llamar antes,1,Jan,2,2,2,0,1,0,0,1,11,84000.0,1,transferencia,confirmado,0.0,1.0,3,1,84000,presencial,individual,358,0.0,28000.0,0.527869,0.538462,0.0,0.505155,0.2,0.0,1.0,0.785714,0.527869,2,2,4,0,1,1
18,11,8,PED-20240109-018,2025-01-09,08:00:00,entregado,51000,whatsapp,,1,Jan,3,2,2,0,1,0,0,1,8,51000.0,1,transferencia,pendiente,1.0,1.0,3,2,51000,whatsapp,individual,336,0.0,17000.0,0.311475,0.326923,0.0,0.278351,0.2,0.333333,0.25,0.0,0.311475,2,2,4,1,1,2
19,22,8,PED-20240109-019,2025-01-09,09:00:00,entregado,56000,whatsapp,Para regalo,1,Jan,3,2,2,0,1,0,0,1,9,56000.0,1,transferencia,confirmado,0.0,1.0,2,1,56000,otro,empresa,360,0.0,28000.0,0.344262,0.358974,0.0,0.505155,0.1,0.0,0.5,0.857143,0.344262,2,2,4,0,0,0
20,1,9,PED-20240110-020,2025-01-10,07:30:00,entregado,56000,whatsapp,,1,Jan,4,2,2,0,1,0,0,1,7,56000.0,1,transferencia,confirmado,0.0,1.0,2,1,56000,whatsapp,individual,360,0.0,28000.0,0.344262,0.358974,0.0,0.505155,0.1,0.0,0.0,0.857143,0.344262,2,2,4,0,1,2
21,7,10,PED-20240111-021,2025-01-11,07:00:00,entregado,33000,whatsapp,Decorar la caja,1,Jan,5,2,2,1,1,0,0,1,7,33000.0,1,transferencia,confirmado,0.0,1.0,1,1,33000,otro,individual,350,0.0,33000.0,0.193443,0.211538,0.0,0.608247,0.0,0.0,0.0,0.5,0.193443,2,2,4,0,1,0
22,13,11,PED-20240112-022,2025-01-12,09:30:00,entregado,31500,manual,Para regalo,1,Jan,6,2,2,1,1,0,0,1,9,31500.0,1,efectivo,pendiente,1.0,0.0,2,2,31500,whatsapp,individual,345,0.0,15750.0,0.183607,0.201923,0.0,0.252577,0.1,0.333333,0.5,0.321429,0.183607,2,0,2,1,1,2
23,8,11,PED-20240112-023,2025-01-12,09:30:00,entregado,80000,whatsapp,Llamar antes,1,Jan,6,2,2,1,1,0,0,1,9,80000.0,1,nequi,confirmado,0.0,1.0,2,1,80000,presencial,individual,345,0.0,40000.0,0.501639,0.512821,0.0,0.752577,0.1,0.0,0.5,0.321429,0.501639,2,2,3,0,1,1
24,13,11,PED-20240112-024,2025-01-12,10:30:00,entregado,38000,whatsapp,Decorar la caja,1,Jan,6,2,2,1,1,0,0,1,10,38000.0,1,nequi,confirmado,0.0,1.0,7,3,38000,whatsapp,individual,345,0.0,5428.57,0.22623,0.24359,0.0,0.039764,0.6,0.666667,0.75,0.321429,0.22623,2,2,3,0,1,2
25,24,12,PED-20240113-025,2025-01-13,07:00:00,entregado,35500,otro,,1,Jan,0,3,3,0,1,0,0,1,7,35500.0,1,transferencia,confirmado,0.0,1.0,5,2,35500,whatsapp,empresa,364,0.0,7100.0,0.209836,0.227564,0.0,0.074227,0.4,0.333333,0.0,1.0,0.209836,2,1,4,0,0,2
26,1,12,PED-20240113-026,2025-01-13,08:00:00,entregado,60000,whatsapp,,1,Jan,0,3,3,0,1,0,0,1,8,60000.0,1,transferencia,confirmado,0.0,1.0,2,2,60000,whatsapp,individual,360,0.0,30000.0,0.370492,0.384615,0.0,0.546392,0.1,0.333333,0.25,0.857143,0.370492,2,2,4,0,1,2
27,14,12,PED-20240113-027,2025-01-13,10:30:00,entregado,52000,whatsapp,Entregar en portería,1,Jan,0,3,3,0,1,0,0,1,10,52000.0,1,nequi,confirmado,0.0,1.0,2,1,52000,whatsapp,individual,359,0.0,26000.0,0.318033,0.333333,0.0,0.463918,0.1,0.0,0.75,0.821429,0.318033,2,2,3,0,1,2
28,2,13,PED-20240115-028,2025-01-15,09:30:00,entregado,84000,whatsapp,Decorar la caja,1,Jan,2,3,3,0,1,0,0,1,9,84000.0,1,daviplata,confirmado,0.0,1.0,3,1,84000,otro,individual,362,0.0,28000.0,0.527869,0.538462,0.0,0.505155,0.2,0.0,0.5,0.928571,0.527869,2,2,0,0,1,0
29,9,14,PED-20240116-029,2025-01-16,10:30:00,entregado,26000,whatsapp,Pago contra entrega,1,Jan,3,3,3,0,1,0,0,1,10,26000.0,1,nequi,confirmado,0.0,1.0,1,1,26000,whatsapp,individual,349,0.0,26000.0,0.147541,0.166667,0.0,0.463918,0.0,0.0,0.75,0.464286,0.147541,2,2,3,0,1,2
30,8,14,PED-20240116-030,2025-01-16,11:00:00,entregado,46000,whatsapp,Para regalo,1,Jan,3,3,3,0,1,0,0,1,11,46000.0,1,efectivo,confirmado,0.0,0.0,6,4,46000,presencial,individual,345,0.0,7666.67,0.278689,0.294872,0.0,0.085911,0.5,1.0,1.0,0.321429,0.278689,2,2,2,0,1,1
31,4,15,PED-20240117-031,2025-01-17,09:00:00,entregado,70000,whatsapp,Llamar antes,1,Jan,4,3,3,0,1,0,0,1,9,70000.0,1,efectivo,pendiente,1.0,0.0,2,1,70000,whatsapp,individual,337,0.0,35000.0,0.436066,0.448718,0.0,0.649485,0.1,0.0,0.5,0.035714,0.436066,2,2,2,1,1,2
32,17,16,PED-20240118-032,2025-01-18,09:30:00,desconocido,28000,whatsapp,Para regalo,1,Jan,5,3,3,1,1,0,0,0,9,28000.0,1,transferencia,confirmado,0.0,1.0,1,1,28000,whatsapp,individual,338,0.0,28000.0,0.160656,0.179487,0.0,0.505155,0.0,0.0,0.5,0.071429,0.160656,1,2,4,0,1,2
33,7,16,PED-20240118-033,2025-01-18,11:30:00,entregado,33500,whatsapp,,1,Jan,5,3,3,1,1,0,0,1,11,33500.0,1,transferencia,confirmado,0.0,1.0,2,2,33500,otro,individual,350,0.0,16750.0,0.196721,0.214744,0.0,0.273196,0.1,0.333333,1.0,0.5,0.196721,2,2,4,0,1,0
34,20,17,PED-20240119-034,2025-01-19,10:00:00,entregado,120000,whatsapp,Entregar en portería,1,Jan,6,3,3,1,1,0,0,1,10,120000.0,1,nequi,confirmado,0.0,1.0,3,1,120000,whatsapp,individual,340,0.0,40000.0,0.763934,0.769231,0.0,0.752577,0.2,0.0,0.75,0.142857,0.763934,2,2,3,0,1,2
35,4,18,PED-20240120-035,2025-01-20,09:30:00,entregado,27000,whatsapp,Llamar antes,1,Jan,0,4,4,0,1,0,0,1,9,27000.0,1,efectivo,confirmado,0.0,0.0,3,1,27000,whatsapp,individual,337,0.0,9000.0,0.154098,0.173077,0.0,0.113402,0.2,0.0,0.5,0.035714,0.154098,2,2,2,0,1,2
36,13,18,PED-20240120-036,2025-01-20,10:30:00,entregado,59500,whatsapp,Entregar en portería,1,Jan,0,4,4,0,1,0,0,1,10,59500.0,1,efectivo,confirmado,0.0,0.0,2,2,59500,whatsapp,individual,345,0.0,29750.0,0.367213,0.38141,0.0,0.541237,0.1,0.333333,0.75,0.321429,0.367213,2,2,2,0,1,2
37,13,18,PED-20240120-037,2025-01-20,07:30:00,entregado,28000,whatsapp,Con tarjeta feliz cumpleaños,1,Jan,0,4,4,0,1,0,0,1,7,28000.0,1,transferencia,pendiente,1.0,1.0,1,1,28000,whatsapp,individual,345,0.0,28000.0,0.160656,0.179487,0.0,0.505155,0.0,0.0,0.0,0.321429,0.160656,2,2,4,1,1,2
38,22,18,PED-20240120-038,2025-01-20,07:30:00,entregado,78000,whatsapp,Pago contra entrega,1,Jan,0,4,4,0,1,0,0,1,7,78000.0,1,transferencia,confirmado,0.0,1.0,3,1,78000,otro,empresa,360,0.0,26000.0,0.488525,0.5,0.0,0.463918,0.2,0.0,0.0,0.857143,0.488525,2,2,4,0,0,0
39,1,19,PED-20240122-039,2025-01-22,07:30:00,entregado,26000,whatsapp,Con tarjeta feliz cumpleaños,1,Jan,2,4,4,0,1,0,0,1,7,26000.0,1,transferencia,confirmado,0.0,1.0,1,1,26000,whatsapp,individual,360,0.0,26000.0,0.147541,0.166667,0.0,0.463918,0.0,0.0,0.0,0.857143,0.147541,2,2,4,0,1,2
40,5,19,PED-20240122-040,2025-01-22,09:00:00,entregado,84000,manual,Entregar en portería,1,Jan,2,4,4,0,1,0,0,1,9,84000.0,1,transferencia,pendiente,1.0,1.0,3,1,84000,whatsapp,individual,349,0.0,28000.0,0.527869,0.538462,0.0,0.505155,0.2,0.0,0.5,0.464286,0.527869,2,0,4,1,1,2
41,21,20,PED-20240123-041,2025-01-23,07:00:00,entregado,35000,whatsapp,,1,Jan,3,4,4,0,1,0,0,1,7,35000.0,1,daviplata,confirmado,0.0,1.0,4,2,35000,presencial,empresa,351,0.0,8750.0,0.206557,0.224359,0.0,0.108247,0.3,0.333333,0.0,0.535714,0.206557,2,2,0,0,0,1
42,10,21,PED-20240124-042,2025-01-24,08:30:00,desconocido,51000,whatsapp,Para regalo,1,Jan,4,4,4,0,1,0,0,0,8,51000.0,1,nequi,confirmado,0.0,1.0,3,2,51000,whatsapp,individual,345,0.0,17000.0,0.311475,0.326923,0.0,0.278351,0.2,0.333333,0.25,0.321429,0.311475,1,2,3,0,1,2
43,19,22,PED-20240125-043,2025-01-25,08:30:00,entregado,56000,whatsapp,Con tarjeta feliz cumpleaños,1,Jan,5,4,4,1,1,0,0,1,8,56000.0,1,efectivo,confirmado,0.0,0.0,2,1,56000,whatsapp,individual,337,0.0,28000.0,0.344262,0.358974,0.0,0.505155,0.1,0.0,0.25,0.035714,0.344262,2,2,2,0,1,2
44,20,22,PED-20240125-044,2025-01-25,08:00:00,entregado,120000,whatsapp,Con tarjeta feliz cumpleaños,1,Jan,5,4,4,1,1,0,0,1,8,120000.0,1,efectivo,confirmado,0.0,0.0,3,1,120000,whatsapp,individual,340,0.0,40000.0,0.763934,0.769231,0.0,0.752577,0.2,0.0,0.25,0.142857,0.763934,2,2,2,0,1,2
45,13,23,PED-20240126-045,2025-01-26,09:30:00,entregado,52000,whatsapp,Pago contra entrega,1,Jan,6,4,4,1,1,0,0,1,9,52000.0,1,daviplata,confirmado,0.0,1.0,2,1,52000,whatsapp,individual,345,0.0,26000.0,0.318033,0.333333,0.0,0.463918,0.1,0.0,0.5,0.321429,0.318033,2,2,0,0,1,2
46,24,23,PED-20240126-046,2025-01-26,08:00:00,entregado,20000,whatsapp,Decorar la caja,1,Jan,6,4,4,1,1,0,0,1,8,20000.0,1,transferencia,confirmado,0.0,1.0,4,2,20000,whatsapp,empresa,364,0.0,5000.0,0.108197,0.128205,0.0,0.030928,0.3,0.333333,0.25,1.0,0.108197,2,2,4,0,0,2
47,7,24,PED-20240127-047,2025-01-27,08:30:00,entregado,48000,whatsapp,Pago contra entrega,1,Jan,0,5,5,0,1,0,0,1,8,48000.0,1,nequi,confirmado,0.0,1.0,2,2,48000,otro,individual,350,0.0,24000.0,0.291803,0.307692,0.0,0.42268,0.1,0.333333,0.25,0.5,0.291803,2,2,3,0,1,0
48,21,24,PED-20240127-048,2025-01-27,09:30:00,entregado,84000,whatsapp,Para regalo,1,Jan,0,5,5,0,1,0,0,1,9,84000.0,1,nequi,rechazado,1.0,1.0,3,1,84000,presencial,empresa,351,0.0,28000.0,0.527869,0.538462,0.0,0.505155,0.2,0.0,0.5,0.535714,0.527869,2,2,3,2,0,1
49,11,24,PED-20240127-049,2025-01-27,11:00:00,entregado,12500,manual,,1,Jan,0,5,5,0,1,0,0,1,11,12500.0,1,daviplata,confirmado,0.0,1.0,3,2,12500,whatsapp,individual,336,0.0,4166.67,0.059016,0.080128,0.0,0.013746,0.2,0.333333,1.0,0.0,0.059016,2,0,0,0,1,2
50,20,25,PED-20240129-050,2025-01-29,10:00:00,entregado,80000,whatsapp,,1,Jan,2,5,5,0,1,0,0,1,10,80000.0,1,transferencia,confirmado,0.0,1.0,2,1,80000,whatsapp,individual,340,0.0,40000.0,0.501639,0.512821,0.0,0.752577,0.1,0.0,0.75,0.142857,0.501639,2,2,4,0,1,2
51,11,25,PED-20240129-051,2025-01-29,08:00:00,entregado,61000,whatsapp,Decorar la caja,1,Jan,2,5,5,0,1,0,0,1,8,61000.0,1,transferencia,confirmado,0.0,1.0,2,2,61000,whatsapp,individual,336,0.0,30500.0,0.377049,0.391026,0.0,0.556701,0.1,0.333333,0.25,0.0,0.377049,2,2,4,0,1,2
52,25,25,PED-20240129-052,2025-01-29,07:00:00,entregado,84000,whatsapp,Llamar antes,1,Jan,2,5,5,0,1,0,0,1,7,84000.0,1,transferencia,confirmado,0.0,1.0,3,1,84000,whatsapp,empresa,343,0.0,28000.0,0.527869,0.538462,0.0,0.505155,0.2,0.0,0.0,0.25,0.527869,2,2,4,0,0,2
53,16,26,PED-20240130-053,2025-01-30,09:00:00,entregado,33000,whatsapp,Con tarjeta feliz cumpleaños,1,Jan,3,5,5,0,1,0,0,1,9,33000.0,1,transferencia,confirmado,0.0,1.0,1,1,33000,otro,individual,355,0.0,33000.0,0.193443,0.211538,0.0,0.608247,0.0,0.0,0.5,0.678571,0.193443,2,2,4,0,1,0
54,10,26,PED-20240130-054,2025-01-30,09:00:00,entregado,84000,whatsapp,,1,Jan,3,5,5,0,1,0,0,1,9,84000.0,1,daviplata,confirmado,0.0,1.0,3,1,84000,whatsapp,individual,345,0.0,28000.0,0.527869,0.538462,0.0,0.505155,0.2,0.0,0.5,0.321429,0.527869,2,2,0,0,1,2
55,20,27,PED-20240131-055,2025-01-31,07:30:00,entregado,18000,whatsapp,Para regalo,1,Jan,4,5,5,0,1,0,0,1,7,18000.0,1,nequi,confirmado,0.0,1.0,2,1,18000,whatsapp,individual,340,0.0,9000.0,0.095082,0.115385,0.0,0.113402,0.1,0.0,0.0,0.142857,0.095082,2,2,3,0,1,2
56,24,27,PED-20240131-056,2025-01-31,09:30:00,entregado,33500,manual,Pago contra entrega,1,Jan,4,5,5,0,1,0,0,1,9,33500.0,1,daviplata,confirmado,0.0,1.0,4,2,33500,whatsapp,empresa,364,0.0,8375.0,0.196721,0.214744,0.0,0.100515,0.3,0.333333,0.5,1.0,0.196721,2,0,0,0,0,2
57,22,27,PED-20240131-057,2025-01-31,09:00:00,entregado,84000,whatsapp,Llamar antes,1,Jan,4,5,5,0,1,0,0,1,9,84000.0,1,nequi,confirmado,0.0,1.0,3,1,84000,otro,empresa,360,0.0,28000.0,0.527869,0.538462,0.0,0.505155,0.2,0.0,0.5,0.857143,0.527869,2,2,3,0,0,0
58,11,28,PED-20240201-058,2025-02-01,08:00:00,entregado,34000,whatsapp,,2,Feb,5,5,5,1,1,0,0,1,8,34000.0,1,transferencia,confirmado,0.0,1.0,4,2,34000,whatsapp,individual,336,0.0,8500.0,0.2,0.217949,0.0,0.103093,0.3,0.333333,0.25,0.0,0.2,2,2,4,0,1,2
59,9,28,PED-20240201-059,2025-02-01,07:00:00,entregado,105000,manual,Con tarjeta feliz cumpleaños,2,Feb,5,5,5,1,1,0,0,1,7,105000.0,1,efectivo,confirmado,0.0,0.0,3,1,105000,whatsapp,individual,349,0.0,35000.0,0.665574,0.673077,0.0,0.649485,0.2,0.0,0.0,0.464286,0.665574,2,0,2,0,1,2
60,1,29,PED-20240202-060,2025-02-02,09:30:00,entregado,26000,whatsapp,Decorar la caja,2,Feb,6,5,5,1,1,0,0,1,9,26000.0,1,transferencia,pendiente,1.0,1.0,1,1,26000,whatsapp,individual,360,0.0,26000.0,0.147541,0.166667,0.0,0.463918,0.0,0.0,0.5,0.857143,0.147541,2,2,4,1,1,2
61,7,30,PED-20240203-061,2025-02-03,09:00:00,entregado,39500,whatsapp,Llamar antes,2,Feb,0,6,6,0,1,0,0,1,9,39500.0,1,nequi,confirmado,0.0,1.0,2,2,39500,otro,individual,350,0.0,19750.0,0.236066,0.253205,0.0,0.335052,0.1,0.333333,0.5,0.5,0.236066,2,2,3,0,1,0
62,9,30,PED-20240203-062,2025-02-03,07:00:00,entregado,35000,whatsapp,Pago contra entrega,2,Feb,0,6,6,0,1,0,0,1,7,35000.0,1,efectivo,confirmado,0.0,0.0,1,1,35000,whatsapp,individual,349,0.0,35000.0,0.206557,0.224359,0.0,0.649485,0.0,0.0,0.0,0.464286,0.206557,2,2,2,0,1,2
63,9,30,PED-20240203-063,2025-02-03,09:00:00,entregado,70000,whatsapp,,2,Feb,0,6,6,0,1,0,0,1,9,70000.0,1,transferencia,confirmado,0.0,1.0,2,1,70000,whatsapp,individual,349,0.0,35000.0,0.436066,0.448718,0.0,0.649485,0.1,0.0,0.5,0.464286,0.436066,2,2,4,0,1,2
64,6,31,PED-20240205-064,2025-02-05,09:00:00,entregado,10500,whatsapp,Llamar antes,2,Feb,2,6,6,0,1,0,0,1,9,10500.0,1,nequi,confirmado,0.0,1.0,3,1,10500,presencial,individual,358,0.0,3500.0,0.045902,0.067308,0.0,0.0,0.2,0.0,0.5,0.785714,0.045902,2,2,3,0,1,1
65,9,31,PED-20240205-065,2025-02-05,08:00:00,entregado,52000,whatsapp,,2,Feb,2,6,6,0,1,0,0,1,8,52000.0,1,transferencia,confirmado,0.0,1.0,1,1,52000,whatsapp,individual,349,0.0,52000.0,0.318033,0.333333,0.0,1.0,0.0,0.0,0.25,0.464286,0.318033,2,2,4,0,1,2
66,19,32,PED-20240206-066,2025-02-06,07:00:00,entregado,55500,whatsapp,Llamar antes,2,Feb,3,6,6,0,1,0,0,1,7,55500.0,1,transferencia,confirmado,0.0,1.0,2,2,55500,whatsapp,individual,337,0.0,27750.0,0.340984,0.355769,0.0,0.5,0.1,0.333333,0.0,0.035714,0.340984,2,2,4,0,1,2
67,24,33,PED-20240207-067,2025-02-07,10:00:00,entregado,104000,whatsapp,,2,Feb,4,6,6,0,1,0,0,1,10,104000.0,1,transferencia,confirmado,0.0,1.0,2,1,104000,whatsapp,empresa,364,0.0,52000.0,0.659016,0.666667,0.0,1.0,0.1,0.0,0.75,1.0,0.659016,2,2,4,0,0,2
68,21,33,PED-20240207-068,2025-02-07,11:00:00,desconocido,46000,whatsapp,Decorar la caja,2,Feb,4,6,6,0,1,0,0,0,11,46000.0,1,nequi,confirmado,0.0,1.0,6,3,46000,presencial,empresa,351,0.0,7666.67,0.278689,0.294872,0.0,0.085911,0.5,0.666667,1.0,0.535714,0.278689,1,2,3,0,0,1
69,12,34,PED-20240208-069,2025-02-08,10:30:00,entregado,35500,whatsapp,,2,Feb,5,6,6,1,1,0,0,1,10,35500.0,1,transferencia,confirmado,0.0,1.0,2,2,35500,whatsapp,individual,353,0.0,17750.0,0.209836,0.227564,0.0,0.293814,0.1,0.333333,0.75,0.607143,0.209836,2,2,4,0,1,2
70,19,34,PED-20240208-070,2025-02-08,11:00:00,entregado,56000,whatsapp,,2,Feb,5,6,6,1,1,0,0,1,11,56000.0,1,transferencia,confirmado,0.0,1.0,2,1,56000,whatsapp,individual,337,0.0,28000.0,0.344262,0.358974,0.0,0.505155,0.1,0.0,1.0,0.035714,0.344262,2,2,4,0,1,2
71,9,35,PED-20240209-071,2025-02-09,10:00:00,desconocido,42000,whatsapp,Con tarjeta feliz cumpleaños,2,Feb,6,6,6,1,1,0,0,0,10,42000.0,1,transferencia,confirmado,0.0,1.0,5,2,42000,whatsapp,individual,349,0.0,8400.0,0.252459,0.269231,0.0,0.101031,0.4,0.333333,0.75,0.464286,0.252459,1,2,4,0,1,2
72,4,35,PED-20240209-072,2025-02-09,11:30:00,entregado,43000,whatsapp,,2,Feb,6,6,6,1,1,0,0,1,11,43000.0,1,nequi,pendiente,1.0,1.0,3,2,43000,whatsapp,individual,337,0.0,14333.33,0.259016,0.275641,0.0,0.223368,0.2,0.333333,1.0,0.035714,0.259016,2,2,3,1,1,2
73,4,36,PED-20240210-073,2025-02-10,07:00:00,entregado,15500,whatsapp,Llamar antes,2,Feb,0,7,7,0,1,0,0,1,7,15500.0,1,transferencia,confirmado,0.0,1.0,3,2,15500,whatsapp,individual,337,0.0,5166.67,0.078689,0.099359,0.0,0.034364,0.2,0.333333,0.0,0.035714,0.078689,2,2,4,0,1,2
74,24,36,PED-20240210-074,2025-02-10,07:00:00,desconocido,99000,whatsapp,Decorar la caja,2,Feb,0,7,7,0,1,0,0,0,7,99000.0,1,nequi,confirmado,0.0,1.0,3,1,99000,whatsapp,empresa,364,0.0,33000.0,0.62623,0.634615,0.0,0.608247,0.2,0.0,0.0,1.0,0.62623,1,2,3,0,0,2
75,4,36,PED-20240210-075,2025-02-10,09:30:00,entregado,26000,whatsapp,Pago contra entrega,2,Feb,0,7,7,0,1,0,0,1,9,26000.0,1,efectivo,confirmado,0.0,0.0,1,1,26000,whatsapp,individual,337,0.0,26000.0,0.147541,0.166667,0.0,0.463918,0.0,0.0,0.5,0.035714,0.147541,2,2,2,0,1,2
